position,k,rows,counterfactuals,ndcg,jaccards
45,5,97,9.507,79.487,55.382
46,5,96,9.746,78.431,53.724
47,5,94,14.655,74.599,50.101
48,5,94,21.171,69.575,45.418
49,5,94,35.11,60.156,38.22
