determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,gen_target_y@1,split,fidelity_score@1,count,fidelity_score@5,fidelity_score@10,fidelity_score@20,fidelity_gen_score@1,fidelity_gen_score@5,fidelity_gen_score@10,fidelity_gen_score@20
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{0},"(None, 10, 0)",0.38,400,0.41,0.3875,0.3625,1.0,0.795,0.645,0.52
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{10},"(None, 10, 0)",0.09,400,0.015,0.01,0.0125,0.99,0.175,0.02,0.01
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{1},"(None, 10, 0)",0.2475,400,0.24,0.155,0.09,1.0,0.625,0.3675,0.175
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{2},"(None, 10, 0)",0.0975,400,0.035,0.01,0.0025,0.975,0.2525,0.08,0.025
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{7},"(None, 10, 0)",0.505,400,0.425,0.3775,0.3125,1.0,0.59,0.49,0.405
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{8},"(None, 10, 0)",0.05,400,0.0275,0.005,0.0,0.915,0.3375,0.0125,0.0
