determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,gen_target_y@1,split,count,fidelity_score@1,fidelity_score@5,fidelity_score@10,fidelity_score@20,fidelity_gen_score@1,fidelity_gen_score@5,fidelity_gen_score@10,fidelity_gen_score@20,gen_cost,cost,gen_dataset_time,dataset_time,align_time,automata_learning_time
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{8},"(None, 1, 0)",100,0.16,0.0,0.0,0.0,0.71,0.0,0.0,0.0,1.676056338028169,0.9295774647887324,21.908239436619716,,0.4111830985915493,
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{9},"(None, 1, 0)",100,0.09,0.0,0.0,0.0,0.78,0.0,0.0,0.0,1.7179487179487178,0.9871794871794872,21.729307692307696,,0.41474358974358977,
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(2, 2, 2)",targeted,True,0.5,{0},"(None, 10, 0)",100,0.52,0.52,0.38,0.31,1.0,0.79,0.57,0.41,1.0,0.65,23.60434,,13.653380000000002,
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(2, 2, 2)",targeted,True,0.5,{1},"(None, 10, 0)",16,0.375,0.0625,0.0625,0.0625,1.0,0.6875,0.375,0.1875,1.0,1.0,24.739062500000003,,19.326999999999998,
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(3, 3, 3)",targeted,True,0.5,{0},"(None, 10, 0)",100,0.49,0.5,0.38,0.29,1.0,0.69,0.61,0.42,1.01,0.72,23.479670000000002,,14.1948,
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,5,"(1, 1, 1)",targeted,True,0.5,{0},"(None, 10, 0)",100,0.55,0.5,0.39,0.31,1.0,0.73,0.56,0.34,1.01,0.68,23.784909999999996,,14.814880000000002,
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,5,"(1, 1, 1)",targeted,True,0.5,{1},"(None, 10, 0)",97,0.31958762886597936,0.21649484536082475,0.14432989690721648,0.10309278350515463,1.0,0.6082474226804123,0.32989690721649484,0.2268041237113402,1.0206185567010309,0.9690721649484536,22.672670103092788,,16.9979793814433,
True,BERT4Rec,ml-100k,2048,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{0},"(None, 10, 0)",100,0.62,0.52,0.4,0.31,1.0,0.74,0.57,0.43,1.0,0.65,21.847379999999998,,14.073489999999998,
True,BERT4Rec,ml-100k,2048,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{1},"(None, 10, 0)",100,0.36,0.26,0.17,0.12,1.0,0.59,0.37,0.25,1.04,0.96,22.59093,,17.548479999999998,
True,BERT4Rec,ml-100k,2048,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{2},"(None, 10, 0)",77,0.16883116883116883,0.07792207792207792,0.025974025974025976,0.025974025974025976,0.8311688311688312,0.4025974025974026,0.24675324675324675,0.15584415584415584,1.328125,1.234375,23.211624999999998,,16.8391875,
True,BERT4Rec,ml-100k,2048,10,0,0.85,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{0},"(None, 10, 0)",100,0.5,0.49,0.33,0.27,1.0,0.77,0.6,0.45,1.04,0.74,24.460330000000003,,14.30576,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{0},"(None, 10, 0)",100,0.47,0.5,0.39,0.31,1.0,0.77,0.6,0.47,1.01,0.64,22.90907,,1.1168700000000003,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{10},"(None, 10, 0)",100,0.28,0.11,0.06,0.05,0.92,0.29,0.18,0.15,1.184782608695652,1.0108695652173914,23.023608695652175,,1.8065,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{11},"(None, 10, 0)",100,0.25,0.13,0.09,0.04,0.9,0.42,0.18,0.12,1.288888888888889,0.9555555555555556,23.02587777777778,,1.6899666666666664,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{12},"(None, 10, 0)",100,0.24,0.07,0.02,0.0,1.0,0.31,0.04,0.0,1.16,1.13,22.972,,2.0524999999999998,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{13},"(None, 10, 0)",100,0.38,0.36,0.19,0.11,1.0,0.58,0.32,0.19,1.05,0.75,23.05083,,1.19544,
