tp,fp,tn,fn,precision,accuracy,recall,train_dataset_len,test_dataset_len,source_sequence_len,source_sequence,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
739,282,3576,1648,72.38,69.1,30.96,"(3340, 4285)","(2387, 3858)",19,"176,96,99,405,900,1262,53,433,25,13,50,90,601,407,358,12,141,279,104",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
823,129,1812,3852,86.45,39.83,17.6,"(5723, 1855)","(4675, 1941)",50,"348,1023,553,308,796,570,109,51,623,489,101,63,639,242,612,67,338,222,71,352,1152,102,966,221,115,138,357,58,726,1029,624,111,343,390,473,100,151,391,35,720,140,185,513,74,31,978,762,396,179,671",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1230,279,1496,3610,81.51,41.21,25.41,"(6391, 1927)","(4840, 1775)",26,"61,492,405,701,176,96,583,368,437,100,149,217,409,58,102,113,157,358,94,298,25,192,1091,257,201,504",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
342,346,4421,1249,49.71,74.91,21.5,"(2193, 5693)","(1591, 4767)",50,"308,93,63,316,300,542,334,10,619,730,768,101,263,255,829,688,510,813,390,503,572,221,474,322,661,678,562,575,218,39,222,781,538,331,539,704,489,197,724,102,170,33,630,889,35,277,167,226,983,1091",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
318,152,3608,2584,67.66,58.93,10.96,"(3724, 4284)","(2902, 3760)",50,"1146,102,928,535,1220,37,362,278,819,1514,1402,357,390,259,1212,458,1240,582,68,1256,1491,236,300,352,596,502,823,6,237,691,379,940,703,332,467,5,288,511,1121,56,584,864,731,897,1234,396,1454,820,185,1358",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
254,46,3077,2798,84.67,53.94,8.32,"(4045, 3504)","(3052, 3123)",47,"756,513,723,1070,874,401,50,134,372,149,78,154,69,84,503,59,433,644,740,428,1060,288,666,18,205,12,388,407,174,178,648,771,978,553,26,394,410,1317,596,696,356,488,190,290,408,74,90",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
657,182,2623,2802,78.31,52.36,18.99,"(4949, 3049)","(3459, 2805)",25,"290,492,692,44,653,669,176,96,99,956,340,105,732,900,460,190,358,53,154,11,816,1173,1190,311,752",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
695,334,3225,2273,67.54,60.06,23.42,"(3775, 4097)","(2968, 3559)",24,"421,492,158,290,252,2,140,361,347,864,498,752,61,737,52,105,244,381,579,41,405,145,44,583",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
3888,38,137,2181,99.03,64.46,64.06,"(7749, 302)","(6069, 175)",50,"607,221,128,285,474,602,380,34,1576,768,424,63,350,441,688,295,375,981,785,1468,284,22,17,1237,1543,829,591,436,988,1172,617,818,164,1414,191,715,1089,860,1290,211,527,363,459,720,659,373,227,852,396,1185",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
105,59,4974,1003,64.02,82.71,9.48,"(1775, 6146)","(1108, 5033)",23,"492,99,158,145,52,756,176,669,126,51,802,334,937,113,1272,572,175,102,89,217,248,674,79",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
