,generation_strategy,dataset,model,fidelity@1,fidelity@5,fidelity@10,fidelity@20,target,seed
95,targeted_uncategorized,steam,BERT4Rec,0.0,0.0,0.0,0.0,2,15
96,targeted_uncategorized,steam,BERT4Rec,0.88,0.88,0.88,0.88,333,15
98,targeted_uncategorized,steam,BERT4Rec,0.01,0.01,0.01,0.01,448,15
100,targeted_uncategorized,steam,BERT4Rec,0.0,0.0,0.0,0.0,1223,101
102,targeted_uncategorized,steam,BERT4Rec,0.0,0.0,0.0,0.0,2,101
103,targeted_uncategorized,steam,BERT4Rec,0.86,0.86,0.86,0.86,333,101
104,targeted_uncategorized,steam,BERT4Rec,0.015,0.015,0.015,0.015,448,101
105,genetic,ml-100k,GRU4Rec,1.0,0.865,0.895,0.96,None,42
106,genetic_categorized,ml-100k,GRU4Rec,1.0,0.7,0.6675,0.62,None,42
107,targeted,ml-100k,GRU4Rec,1.0,0.7889713679745494,0.6574761399787911,0.5471898197242842,0,42
108,targeted,ml-100k,GRU4Rec,0.9936373276776246,0.1633085896076352,0.0286320254506892,0.0116648992576882,10,42
109,targeted,ml-100k,GRU4Rec,1.0,0.6277836691410392,0.3499469777306468,0.1664899257688229,1,42
110,targeted,ml-100k,GRU4Rec,0.980911983032874,0.2375397667020148,0.0699893955461293,0.0159066808059384,2,42
111,targeted,ml-100k,GRU4Rec,1.0,0.6033934252386002,0.4878048780487805,0.3966065747613997,7,42
112,targeted,ml-100k,GRU4Rec,0.9130434782608696,0.3170731707317073,0.0180275715800636,0.0010604453870625,8,42
117,genetic,ml-1m,GRU4Rec,0.9238578680203046,0.9746192893401016,0.9949238578680204,0.9949238578680204,None,10
118,genetic,ml-1m,GRU4Rec,0.895,0.935,0.99,1.0,None,15
119,genetic,ml-1m,GRU4Rec,0.8795811518324608,0.9581151832460733,0.9842931937172776,1.0,None,101
120,genetic,ml-1m,GRU4Rec,0.9195979899497488,0.964824120603015,0.9899497487437184,1.0,None,2025
121,genetic_categorized,ml-1m,GRU4Rec,0.700507614213198,0.5329949238578681,0.4771573604060913,0.4213197969543147,None,10
122,genetic_categorized,ml-1m,GRU4Rec,0.665,0.525,0.5,0.46,None,15
123,genetic_categorized,ml-1m,GRU4Rec,0.6770833333333334,0.4947916666666667,0.4635416666666667,0.4791666666666667,None,101
124,genetic_categorized,ml-1m,GRU4Rec,0.6414141414141414,0.5,0.4595959595959596,0.3737373737373737,None,2025
125,targeted,ml-1m,GRU4Rec,0.717948717948718,0.6512820512820513,0.5794871794871795,0.4871794871794871,0,10
126,targeted,ml-1m,GRU4Rec,0.5538461538461539,0.1179487179487179,0.0205128205128205,0.0051282051282051,10,10
127,targeted,ml-1m,GRU4Rec,0.5692307692307692,0.4717948717948718,0.3076923076923077,0.1435897435897435,1,10
128,targeted,ml-1m,GRU4Rec,0.5177664974619289,0.182741116751269,0.065989847715736,0.015228426395939,2,10
129,targeted,ml-1m,GRU4Rec,0.6934673366834171,0.4924623115577889,0.3819095477386934,0.3065326633165829,7,10
130,targeted,ml-1m,GRU4Rec,0.5228426395939086,0.1421319796954314,0.0203045685279187,0.0,8,10
131,targeted,ml-1m,GRU4Rec,0.645,0.63,0.51,0.46,0,15
132,targeted,ml-1m,GRU4Rec,0.485,0.135,0.04,0.01,10,15
133,targeted,ml-1m,GRU4Rec,0.565,0.355,0.23,0.12,1,15
134,targeted,ml-1m,GRU4Rec,0.465,0.155,0.06,0.01,2,15
135,targeted,ml-1m,GRU4Rec,0.55,0.415,0.295,0.265,7,15
136,targeted,ml-1m,GRU4Rec,0.465,0.07,0.0,0.0,8,15
137,targeted,ml-1m,GRU4Rec,0.3333333333333333,0.3333333333333333,0.0,0.0,10,18
138,targeted,ml-1m,GRU4Rec,0.5,0.0,0.0,0.0,10,30
139,targeted,ml-1m,GRU4Rec,0.6614583333333334,0.6041666666666666,0.5572916666666666,0.5,0,101
140,targeted,ml-1m,GRU4Rec,0.4270833333333333,0.1197916666666666,0.0416666666666666,0.0104166666666666,10,101
141,targeted,ml-1m,GRU4Rec,0.5492227979274611,0.4145077720207253,0.2538860103626943,0.1398963730569948,1,101
142,targeted,ml-1m,GRU4Rec,0.4580152671755725,0.1679389312977099,0.0916030534351145,0.0076335877862595,2,101
143,targeted,ml-1m,GRU4Rec,0.8,0.45,0.4,0.3,7,101
144,targeted,ml-1m,GRU4Rec,0.485,0.115,0.02,0.0,8,101
145,targeted,ml-1m,GRU4Rec,0.0,0.0,0.0,0.0,10,103
146,targeted,ml-1m,GRU4Rec,0.72,0.685,0.61,0.5,0,2025
147,targeted,ml-1m,GRU4Rec,0.435,0.105,0.02,0.015,10,2025
148,targeted,ml-1m,GRU4Rec,0.5276381909547738,0.371859296482412,0.236180904522613,0.1708542713567839,1,2025
149,targeted,ml-1m,GRU4Rec,0.461038961038961,0.0649350649350649,0.0324675324675324,0.0064935064935064,2,2025
150,targeted,ml-1m,GRU4Rec,0.6447368421052632,0.4078947368421052,0.3815789473684211,0.25,7,2025
151,targeted,ml-1m,GRU4Rec,0.4913793103448275,0.1034482758620689,0.0258620689655172,0.0,8,2025
152,targeted_uncategorized,ml-1m,GRU4Rec,0.425,0.495,0.495,0.495,105,10
153,targeted_uncategorized,ml-1m,GRU4Rec,0.0,0.0,0.0,0.0,1761,10
155,targeted_uncategorized,ml-1m,GRU4Rec,0.0,0.0,0.0,0.0,248,10
158,targeted_uncategorized,ml-1m,GRU4Rec,0.055,0.065,0.065,0.065,718,10
160,targeted_uncategorized,ml-1m,GRU4Rec,0.36,0.44,0.44,0.44,105,15
161,targeted_uncategorized,ml-1m,GRU4Rec,0.0,0.0,0.0,0.0,1761,15
162,targeted_uncategorized,ml-1m,GRU4Rec,0.0,0.0,0.0,0.0,248,15
163,targeted_uncategorized,ml-1m,GRU4Rec,0.09,0.09,0.09,0.09,718,15
172,genetic,steam,GRU4Rec,1.0,0.915,0.925,0.975,None,15
173,genetic,steam,GRU4Rec,0.9948453608247424,0.9381443298969072,0.9484536082474226,0.9690721649484536,None,101
174,genetic_categorized,steam,GRU4Rec,1.0,0.495,0.29,0.135,None,15
175,genetic_categorized,steam,GRU4Rec,1.0,0.5360824742268041,0.2886597938144329,0.1030927835051546,None,101
176,targeted,steam,GRU4Rec,1.0,0.94,0.95,0.96,10,15
177,targeted,steam,GRU4Rec,1.0,0.185,0.01,0.0,18,15
178,targeted,steam,GRU4Rec,1.0,0.415,0.2,0.035,20,15
179,targeted,steam,GRU4Rec,1.0,0.85,0.775,0.815,2,15
180,targeted,steam,GRU4Rec,0.42,0.115,0.0,0.0,6,15
181,targeted_uncategorized,steam,GRU4Rec,0.1767676767676767,0.1767676767676767,0.1767676767676767,0.1767676767676767,1223,10
182,targeted_uncategorized,steam,GRU4Rec,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.0303030303030303,2,10
183,targeted_uncategorized,steam,GRU4Rec,1.0,1.0,1.0,1.0,333,10
184,targeted_uncategorized,steam,GRU4Rec,0.9949494949494948,0.9949494949494948,0.9949494949494948,0.9949494949494948,448,10
185,targeted_uncategorized,steam,GRU4Rec,0.13,0.13,0.13,0.13,1223,15
188,targeted_uncategorized,steam,GRU4Rec,0.035,0.035,0.035,0.035,2,15
189,targeted_uncategorized,steam,GRU4Rec,1.0,1.0,1.0,1.0,333,15
191,targeted_uncategorized,steam,GRU4Rec,1.0,1.0,1.0,1.0,448,15
193,targeted_uncategorized,steam,GRU4Rec,0.15,0.15,0.15,0.15,1223,101
195,targeted_uncategorized,steam,GRU4Rec,0.025,0.025,0.025,0.025,2,101
196,targeted_uncategorized,steam,GRU4Rec,1.0,1.0,1.0,1.0,333,101
198,targeted_uncategorized,steam,GRU4Rec,1.0,1.0,1.0,1.0,448,101
199,genetic,ml-100k,SASRec,1.0,0.7454931071049841,0.7582184517497349,0.8101802757158006,None,42
200,genetic_categorized,ml-100k,SASRec,1.0,0.767762460233298,0.6659597030752916,0.6277836691410392,None,42
201,targeted,ml-100k,SASRec,1.0,0.7753846153846153,0.6476923076923077,0.5184615384615384,0,42
202,targeted,ml-100k,SASRec,0.9946977730646872,0.232237539766702,0.0943796394485683,0.0540827147401908,10,42
203,targeted,ml-100k,SASRec,1.0,0.6325,0.42,0.2425,1,42
204,targeted,ml-100k,SASRec,0.995,0.3425,0.175,0.105,2,42
205,targeted,ml-100k,SASRec,1.0,0.715,0.63,0.5525,7,42
206,targeted,ml-100k,SASRec,0.915,0.375,0.025,0.0,8,42
211,genetic,ml-1m,SASRec,1.0,0.8691099476439791,0.8900523560209425,0.8952879581151832,None,10
212,genetic,ml-1m,SASRec,1.0,0.82,0.8,0.825,None,15
213,genetic,ml-1m,SASRec,1.0,0.77,0.785,0.83,None,101
214,genetic_categorized,ml-1m,SASRec,0.9947643979057592,0.8167539267015707,0.7539267015706806,0.7120418848167539,None,10
215,genetic_categorized,ml-1m,SASRec,0.995,0.81,0.745,0.715,None,15
216,genetic_categorized,ml-1m,SASRec,1.0,0.8,0.745,0.73,None,101
217,targeted,ml-1m,SASRec,1.0,0.8871794871794871,0.7692307692307693,0.6666666666666666,0,10
218,targeted,ml-1m,SASRec,0.9948717948717948,0.6410256410256411,0.4923076923076923,0.3897435897435897,10,10
219,targeted,ml-1m,SASRec,0.9897435897435898,0.6717948717948717,0.517948717948718,0.3794871794871794,1,10
220,targeted,ml-1m,SASRec,0.9896907216494846,0.6701030927835051,0.5463917525773195,0.4587628865979381,2,10
221,targeted,ml-1m,SASRec,0.9948717948717948,0.7743589743589744,0.6564102564102564,0.5846153846153846,7,10
222,targeted,ml-1m,SASRec,0.97,0.685,0.53,0.46,8,10
223,targeted,ml-1m,SASRec,0.985,0.79,0.695,0.57,0,15
224,targeted,ml-1m,SASRec,0.995,0.64,0.465,0.375,10,15
225,targeted,ml-1m,SASRec,0.99,0.68,0.5,0.375,1,15
226,targeted,ml-1m,SASRec,0.995,0.66,0.54,0.455,2,15
227,targeted,ml-1m,SASRec,0.985,0.775,0.645,0.555,7,15
228,targeted,ml-1m,SASRec,0.965,0.695,0.57,0.46,8,15
229,targeted,ml-1m,SASRec,0.989247311827957,0.8494623655913979,0.7526881720430108,0.6075268817204301,0,101
230,targeted,ml-1m,SASRec,1.0,0.6989247311827957,0.5,0.3602150537634409,10,101
231,targeted,ml-1m,SASRec,0.989247311827957,0.6881720430107527,0.489247311827957,0.3387096774193548,1,101
232,targeted,ml-1m,SASRec,0.9946236559139784,0.6720430107526881,0.5483870967741935,0.4623655913978494,2,101
233,targeted,ml-1m,SASRec,0.9946236559139784,0.7526881720430108,0.6451612903225806,0.5483870967741935,7,101
234,targeted,ml-1m,SASRec,1.0,0.7804878048780488,0.6097560975609756,0.5365853658536586,8,101
235,targeted_uncategorized,ml-1m,SASRec,0.6729857819905213,0.6729857819905213,0.6729857819905213,0.6729857819905213,105,10
236,targeted_uncategorized,ml-1m,SASRec,0.0,0.0,0.0,0.0,1761,10
238,targeted_uncategorized,ml-1m,SASRec,0.0,0.0,0.0,0.0,248,10
241,targeted_uncategorized,ml-1m,SASRec,0.09,0.09,0.09,0.09,718,10
243,targeted_uncategorized,ml-1m,SASRec,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,105,15
252,genetic,steam,SASRec,0.995,0.825,0.81,0.86,None,101
253,genetic_categorized,steam,SASRec,0.995,0.37,0.1,0.035,None,101
254,targeted,steam,SASRec,0.0,0.0,0.0,0.0,10,101
255,targeted_uncategorized,steam,SASRec,0.1565656565656565,0.1565656565656565,0.1565656565656565,0.1565656565656565,1223,10
256,targeted_uncategorized,steam,SASRec,0.4874371859296482,0.4874371859296482,0.4874371859296482,0.4874371859296482,2,10
257,targeted_uncategorized,steam,SASRec,1.0,1.0,1.0,1.0,333,10
258,targeted_uncategorized,steam,SASRec,0.9246231155778896,0.9246231155778896,0.9246231155778896,0.9246231155778896,448,10
259,targeted_uncategorized,steam,SASRec,0.073170731707317,0.073170731707317,0.073170731707317,0.073170731707317,1223,15
261,targeted_uncategorized,steam,SASRec,0.52,0.52,0.52,0.52,2,15
262,targeted_uncategorized,steam,SASRec,1.0,1.0,1.0,1.0,333,15
264,targeted_uncategorized,steam,SASRec,0.095,0.095,0.095,0.095,1223,101
266,targeted_uncategorized,steam,SASRec,0.46,0.46,0.46,0.46,2,101
267,targeted_uncategorized,steam,SASRec,1.0,1.0,1.0,1.0,333,101
268,targeted_uncategorized,steam,SASRec,0.93,0.93,0.93,0.93,448,101
