determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,split,gen_target_y@1,fidelity_score@1,count,fidelity_score@5,fidelity_score@10,fidelity_score@20,fidelity_gen_score@1,fidelity_gen_score@5,fidelity_gen_score@10,fidelity_gen_score@20
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 1, 0)",{6},0.1,100,0.0,0.0,0.0,0.69,0.0,0.0,0.0
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 1, 0)",{7},0.49,100,0.23,0.13,0.05,1.0,0.34,0.16,0.07
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 1, 0)",{8},0.16,100,0.0,0.0,0.0,0.71,0.0,0.0,0.0
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 1, 0)",{9},0.09,100,0.0,0.0,0.0,0.78,0.0,0.0,0.0
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 0)",{0},0.58,100,0.26,0.18,0.11,1.0,0.33,0.19,0.1
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 0)",{10},0.29,100,0.06,0.02,0.04,0.95,0.07,0.06,0.09
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 0)",{11},0.27,100,0.04,0.02,0.0,0.92,0.16,0.08,0.0
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 0)",{12},0.18,100,0.0,0.0,0.0,1.0,0.05,0.0,0.0
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 0)",{13},0.5957446808510638,47,0.14893617021276595,0.1276595744680851,0.10638297872340426,1.0,0.1702127659574468,0.1276595744680851,0.0425531914893617
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 0)",{1},0.32,100,0.09,0.03,0.02,1.0,0.18,0.11,0.03
