determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,gen_target_y_at_1,split,count,fidelity_score,fidelity_score_at_1,fidelity_score_at_5,fidelity_score_at_10,fidelity_score_at_20,fidelity_gen_score_at_1,fidelity_gen_score_at_5,fidelity_gen_score_at_10,fidelity_gen_score_at_20,gen_cost,cost,gen_dataset_time,dataset_time,align_time,automata_learning_time
True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,50,"(None, 10, 0)",145,0.0,0.020689655172413793,0.09655172413793103,0.14482758620689656,0.1724137931034483,0.43448275862068964,0.43448275862068964,0.43448275862068964,0.43448275862068964,1.4603174603174602,1.0,136.9867102639032,,47.689180160219706,
True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,411,"(None, 10, 0)",943,0.0,0.012725344644750796,0.024390243902439025,0.031813361611876985,0.036055143160127257,0.07104984093319194,0.07104984093319194,0.07104984093319194,0.07104984093319194,2.462686567164179,1.0,196.61519402985076,,6.845388059701492,
True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,630,"(None, 10, 0)",943,0.0,0.033934252386002124,0.0689289501590668,0.0911983032873807,0.10286320254506894,0.2841993637327678,0.2841993637327678,0.2841993637327678,0.2841993637327678,1.8992537313432836,1.0186567164179106,193.78598507462686,,19.472638059701495,
True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,1305,"(None, 10, 0)",943,0.0,0.0010604453870625664,0.0021208907741251328,0.0042417815482502655,0.005302226935312832,0.018027571580063628,0.018027571580063628,0.018027571580063628,0.018027571580063628,2.0,1.0,211.43441176470589,,5.653117647058824,
True,BERT4Rec,ml-1m,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,NaN,"(None, 10, 0)",200,0.0,0.785,0.855,0.885,0.92,1.0,0.755,0.79,0.855,1.0,0.925,204.251665,,198.58613499999998,
True,BERT4Rec,ml-1m,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic_categorized,True,0.5,NaN,"(None, 10, 0)",200,0.0,0.79,0.895,0.95,0.975,1.0,0.695,0.61,0.58,1.01,0.98,193.60428,,243.81211000000002,
True,BERT4Rec,ml-1m,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{0},"(None, 10, 0)",200,0.0,0.45,0.43,0.385,0.38,1.0,0.82,0.665,0.565,1.005,0.65,198.744775,,168.35066500000002,
True,BERT4Rec,ml-1m,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{1},"(None, 10, 0)",200,0.0,0.34,0.34,0.23,0.17,1.0,0.66,0.44,0.305,1.02,0.81,196.66108999999997,,186.445975,
True,BERT4Rec,ml-1m,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{2},"(None, 10, 0)",200,0.0,0.26,0.18,0.15,0.12,0.88,0.455,0.335,0.285,1.2159090909090908,0.9488636363636364,196.36451704545453,,130.66817045454545,
True,BERT4Rec,ml-1m,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{7},"(None, 10, 0)",200,0.0,0.54,0.41,0.365,0.3,1.0,0.64,0.49,0.42,1.0,0.675,197.889185,,187.20671000000002,
True,BERT4Rec,ml-1m,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{8},"(None, 10, 0)",200,0.0,0.185,0.1,0.065,0.045,0.925,0.44,0.2,0.145,1.145945945945946,0.9783783783783784,197.06515135135135,,165.74389189189188,
True,BERT4Rec,ml-1m,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,50,"(None, 10, 0)",400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
True,BERT4Rec,ml-1m,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,411,"(None, 10, 0)",400,0.0,0.0025,0.0025,0.0025,0.0025,0.005,0.005,0.005,0.005,1.5,1.0,138.02100000000002,,28.884500000000003,
True,BERT4Rec,ml-1m,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,630,"(None, 10, 0)",400,0.0,0.21,0.2725,0.2925,0.3225,0.535,0.535,0.535,0.535,1.47196261682243,1.0,144.38908411214953,,23.531065420560743,
True,BERT4Rec,ml-1m,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,1305,"(None, 10, 0)",400,0.0,0.0025,0.0175,0.02,0.025,0.0575,0.0575,0.0575,0.0575,1.3043478260869565,0.9565217391304348,186.78426086956523,,44.82939130434783,
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,NaN,"(None, 10, 0)",400,0.0,0.545,0.585,0.6125,0.62,1.0,0.865,0.895,0.96,1.0,0.6225,209.46463750000004,,90.5981625,
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic_categorized,True,0.5,NaN,"(None, 10, 0)",400,0.0,0.6825,0.725,0.7475,0.76,1.0,0.7,0.6675,0.62,1.0025,0.76,175.60335499999997,,153.22859,
